elementType,editType,scriptLength,specialCharRatio,GSB,jsEval,class
60,2,-1,0.033707865168539325,-1,-1,benign
60,2,-1,0.033707865168539325,-1,-1,benign
60,2,-1,0.033707865168539325,-1,-1,benign
60,2,-1,0.033707865168539325,-1,-1,benign
60,2,-1,0.033707865168539325,-1,-1,benign
60,2,-1,0.033707865168539325,-1,-1,benign
60,2,-1,0.033707865168539325,-1,-1,benign
60,2,-1,0.2222222222222222,-1,-1,benign
60,2,-1,0.2222222222222222,-1,-1,benign
60,2,-1,0.2222222222222222,-1,-1,benign
60,2,-1,0.2222222222222222,-1,-1,benign
60,2,-1,0.2222222222222222,-1,-1,benign
60,2,-1,0.2222222222222222,-1,-1,benign
60,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
0,2,-1,0.2222222222222222,-1,-1,benign
137,2,-1,0.15217391304347827,-1,-1,benign
137,2,-1,0.15217391304347827,-1,-1,benign
137,2,-1,0.15217391304347827,-1,-1,benign
137,2,-1,0.15217391304347827,-1,-1,benign
137,2,-1,0.15217391304347827,-1,-1,benign
137,2,-1,0.15217391304347827,-1,-1,benign
137,1,-1,0.0,-1,-1,benign
137,1,-1,0.0,-1,-1,benign
137,1,-1,0.0,-1,-1,benign
137,1,-1,0.0,-1,-1,benign
137,1,-1,0.0,-1,-1,benign
137,1,-1,0.0,-1,-1,benign
0,2,-1,0.20408163265306123,-1,-1,benign
0,2,-1,0.20408163265306123,-1,-1,benign
0,2,-1,0.20408163265306123,-1,-1,benign
0,2,-1,0.20408163265306123,-1,-1,benign
0,2,-1,0.20408163265306123,-1,-1,benign
0,2,-1,0.20408163265306123,-1,-1,benign
0,2,-1,0.20408163265306123,-1,-1,benign
0,2,-1,0.20408163265306123,-1,-1,benign
0,2,-1,0.20408163265306123,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
6,2,-1,0.25757575757575757,-1,-1,benign
6,2,-1,0.25757575757575757,-1,-1,benign
38,2,-1,0.1509433962264151,-1,-1,benign
38,2,-1,0.1509433962264151,-1,-1,benign
38,2,-1,0.1509433962264151,-1,-1,benign
